Domain,date
Sponsoring Organization,2026-05-07
"American Automobile Association, Inc.",2026-05-07
AARP,2026-05-07
Not assigned,2026-05-07
ABB Ltd,2026-05-07
"Abbott Laboratories, Inc.",2026-05-07
AbbVie Inc.,2026-05-07
"Disney Enterprises, Inc.",2026-05-07
Able Inc.,2026-05-07
"Registry Services, LLC",2026-05-07
Abu Dhabi Systems and Information Centre,2026-05-07
Internet Computer Bureau Limited,2026-05-07
"Binky Moon, LLC",2026-05-07
Accenture plc,2026-05-07
dot Accountant Limited,2026-05-07
"Binky Moon, LLC",2026-05-07
ACO Severin Ahlmann GmbH & Co. KG,2026-05-07
Not assigned,2026-05-07
"Dog Beach, LLC",2026-05-07
Andorra Telecom,2026-05-07
Not assigned,2026-05-07
Charleston Road Registry Inc.,2026-05-07
ICM Registry AD LLC,2026-05-07
Telecommunications and Digital Government Regulatory Authority (TDRA),2026-05-07
Aktiebolaget Electrolux,2026-05-07
Societe Internationale de Telecommunications Aeronautique (SITA INC USA),2026-05-07
Aetna Life Insurance Company,2026-05-07
Ministry of Communications and IT,2026-05-07
Not assigned,2026-05-07
Australian Football League,2026-05-07
ZA Central Registry NPC trading as Registry.Africa,2026-05-07
UHSA School of Medicine,2026-05-07
Fondation Aga Khan (Aga Khan Foundation),2026-05-07
"Binky Moon, LLC",2026-05-07
Government of Anguilla,2026-05-07
"American International Group, Inc.",2026-05-07
Not assigned,2026-05-07
Airbus S.A.S.,2026-05-07
"Dog Beach, LLC",2026-05-07
Bharti Airtel Limited,2026-05-07
Fondation Aga Khan (Aga Khan Foundation),2026-05-07
Electronic and Postal Communications Authority - AKEP,2026-05-07
Not assigned,2026-05-07
Alibaba Group Holding Limited,2026-05-07
Alibaba Group Holding Limited,2026-05-07
Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,2026-05-07
Allstate Fire and Casualty Insurance Company,2026-05-07
Ally Financial Inc.,2026-05-07
REGION GRAND EST,2026-05-07
ALSTOM,2026-05-07
"""Internet Society"" Non-governmental Organization",2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
"American Express Travel Related Services Company, Inc.",2026-05-07
"AmFam, Inc.",2026-05-07
"American Express Travel Related Services Company, Inc.",2026-05-07
"AmFam, Inc.",2026-05-07
Amica Mutual Insurance Company,2026-05-07
Gemeente Amsterdam,2026-05-07
Not assigned,2026-05-07
Campus IP LLC,2026-05-07
Charleston Road Registry Inc.,2026-05-07
"Beijing Qihu Keji Co., Ltd.",2026-05-07
Australia and New Zealand Banking Group Limited,2026-05-07
Ministry of Telecommunications and Information Technologies (MTTI),2026-05-07
Yahoo Inc.,2026-05-07
"Binky Moon, LLC",2026-05-07
Charleston Road Registry Inc.,2026-05-07
Apple Inc.,2026-05-07
Antarctica Network Information Centre Limited,2026-05-07
Aquarelle.com,2026-05-07
"Presidencia de la Nación , Secretaría Legal y Técnica",2026-05-07
League of Arab States,2026-05-07
Aramco Services Company,2026-05-07
Identity Digital Limited,2026-05-07
"Dog Beach, LLC",2026-05-07
Internet Architecture Board (IAB),2026-05-07
UK Creative Ideas Limited,2026-05-07
Association Relative à la Télévision Européenne G.E.I.E.,2026-05-07
AS Domain Registry,2026-05-07
Asda Stores Limited,2026-05-07
DotAsia Organisation Ltd.,2026-05-07
"Binky Moon, LLC",2026-05-07
nic.at GmbH,2026-05-07
"The Gap, Inc.",2026-05-07
"Dog Beach, LLC",2026-05-07
.au Domain Administration (auDA),2026-05-07
"Dog Beach, LLC",2026-05-07
AUDI Aktiengesellschaft,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
XYZ.COM LLC,2026-05-07
Australian Postal Corporation,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
XYZ.COM LLC,2026-05-07
XYZ.COM LLC,2026-05-07
Not assigned,2026-05-07
SETAR,2026-05-07
AWS Registry LLC,2026-05-07
Ålands landskapsregering,2026-05-07
AXA Group Operations SAS,2026-05-07
IntraNS,2026-05-07
Microsoft Corporation,2026-05-07
University Tele-Informatic Center (UTIC),2026-05-07
XYZ.COM LLC,2026-05-07
"Baidu, Inc.",2026-05-07
Citigroup Inc.,2026-05-07
Not assigned,2026-05-07
"Dog Beach, LLC",2026-05-07
"fTLD Registry Services, LLC",2026-05-07
Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2026-05-07
Municipi de Barcelona,2026-05-07
Barclays Bank PLC,2026-05-07
Barclays Bank PLC,2026-05-07
"Gallo Vineyards, Inc.",2026-05-07
"Binky Moon, LLC",2026-05-07
"MLB Advanced Media DH, LLC",2026-05-07
Fédération Internationale de Basketball (FIBA),2026-05-07
Werkhaus GmbH,2026-05-07
Bayern Connect GmbH,2026-05-07
"Ministry of Innovation, Science and Smart Technology",2026-05-07
British Broadcasting Corporation,2026-05-07
BB&T Corporation,2026-05-07
